task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Ant-v5,SAC,TD3,t-test,0.05,0.5,2,0.063,0.007683163410991596
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.025,0.0049371044145328745
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.351,0.015093011627902497
Ant-v5,SAC,TD3,permutation,0.05,0.5,2,0.366,0.01523299051401267
Ant-v5,SAC,TD3,t-test,0.05,0.5,3,0.057,0.007331507348424334
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.034,0.005730968504537431
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.175,0.012015614840697915
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.231,0.013328128150644412
Ant-v5,SAC,TD3,permutation,0.05,0.5,3,0.098,0.009401914698613257
Ant-v5,SAC,TD3,t-test,0.05,0.5,5,0.052,0.007021111023192838
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.046,0.006624499981130651
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.116,0.010126401137620413
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.186,0.012304633273690036
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.181,0.0121753439376471
Ant-v5,SAC,TD3,permutation,0.05,0.5,5,0.067,0.007906389820898032
Ant-v5,SAC,TD3,t-test,0.05,0.5,10,0.14,0.010972693379476163
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.088,0.008958571314668427
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.289,0.0143345387090063
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.337,0.014947608504372866
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.254,0.013765318739498916
Ant-v5,SAC,TD3,permutation,0.05,0.5,10,0.123,0.010386096475577337
Ant-v5,SAC,TD3,t-test,0.05,0.5,20,0.271,0.014055568291606
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.302,0.014518815378673288
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.562,0.01568935945155187
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.577,0.015622771841129857
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.393,0.015445096309184997
