task,algo1,algo2,test,alpha,epsilon,target_n,power,se
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,2,0.137,0.010873407929439602
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.081,0.008627803892068943
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.462,0.01576565888252058
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,2,0.444,0.015711906313366306
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,3,0.104,0.009653186002558949
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.055,0.00720936890441875
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.186,0.012304633273690036
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.287,0.01430492922037715
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,3,0.217,0.013034991369387246
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,5,0.084,0.008771772910877254
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.077,0.00843036179532053
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.067,0.007906389820898032
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.117,0.010164201887015036
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.233,0.013368283360252356
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,5,0.144,0.011102432165971562
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,10,0.159,0.011563693181678594
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.138,0.01090669519148674
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.203,0.012719709116170857
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.228,0.013267102170406317
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.205,0.0127661662216971
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,10,0.153,0.011383804285035824
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,20,0.308,0.014599178059055242
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.307,0.01458598642533305
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.385,0.015387494922826133
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.414,0.015575750383207868
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.375,0.015309310892394862
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,20,0.312,0.014651143300097777
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,30,0.48,0.0157987341265052
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.466,0.01577479001445027
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.537,0.015768037290671277
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.515,0.01580427157448264
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.532,0.01577897335063343
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,30,0.46,0.015760710643876435
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,2,0.17,0.011878552100319299
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.092,0.00913980306133562
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.536,0.015770351930125083
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,2,0.53,0.015782902141241326
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,3,0.156,0.011474493452871897
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.124,0.010422283818818216
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.257,0.013818502089589886
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,3,0.386,0.015394934231752989
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,3,0.321,0.0147634345597493
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,5,0.224,0.013184233007649706
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.25,0.013693063937629153
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.15,0.011291589790636216
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.209,0.012857643641040918
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,5,0.434,0.015673034167001616
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,5,0.254,0.013765318739498916
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,10,0.551,0.015728922404284407
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,10,0.545,0.015747221977225064
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,10,0.365,0.015224158433227107
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,10,0.405,0.015523369479594306
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,10,0.675,0.014811313243598623
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,10,0.537,0.015768037290671277
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,20,0.889,0.00993373041711924
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.896,0.009653186002558947
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.644,0.015141466243399283
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.661,0.014969268519202933
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.927,0.008226238508577293
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,20,0.889,0.00993373041711924
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,30,0.986,0.0037153734670958734
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.977,0.004740358636221528
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.815,0.012279047194306243
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.827,0.011961229033840963
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.976,0.004839834707921338
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,30,0.969,0.005480784615363026
HalfCheetah-v5,SAC,TD3,t-test,0.05,2.0,2,0.251,0.013711272734505722
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.165,0.011737759581794134
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.735,0.013956181426163821
HalfCheetah-v5,SAC,TD3,permutation,0.05,2.0,2,0.732,0.014006284303840188
HalfCheetah-v5,SAC,TD3,t-test,0.05,2.0,3,0.384,0.015379986996093333
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.257,0.013818502089589886
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.35,0.015083103128998356
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,2.0,3,0.85,0.011291589790636216
HalfCheetah-v5,SAC,TD3,permutation,0.05,2.0,3,0.553,0.01572230899073034
HalfCheetah-v5,SAC,TD3,t-test,0.05,2.0,5,0.836,0.011709141727727102
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,2.0,5,0.797,0.012719709116170855
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,2.0,5,0.201,0.012672766075328622
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,2.0,5,0.316,0.014701836619960105
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,2.0,5,0.979,0.00453420334788814
HalfCheetah-v5,SAC,TD3,permutation,0.05,2.0,5,0.796,0.012742998077375669
HalfCheetah-v5,SAC,TD3,t-test,0.05,2.0,10,0.999,0.0009994998749374613
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,2.0,10,0.998,0.0014127986409959495
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,2.0,10,0.526,0.01578999683343857
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,2.0,10,0.614,0.015394934231752989
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,2.0,10,0.999,0.0009994998749374613
HalfCheetah-v5,SAC,TD3,permutation,0.05,2.0,10,0.996,0.0019959959919799443
HalfCheetah-v5,SAC,TD3,t-test,0.05,2.0,20,1.0,0.0
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,2.0,20,1.0,0.0
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,2.0,20,0.873,0.010529529904036551
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,2.0,20,0.866,0.010772372069326236
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,2.0,20,1.0,0.0
HalfCheetah-v5,SAC,TD3,permutation,0.05,2.0,20,1.0,0.0
HalfCheetah-v5,SAC,TD3,t-test,0.05,2.0,30,1.0,0.0
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,2.0,30,1.0,0.0
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,2.0,30,0.966,0.005730968504537434
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,2.0,30,0.971,0.005306505441436956
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,2.0,30,1.0,0.0
HalfCheetah-v5,SAC,TD3,permutation,0.05,2.0,30,1.0,0.0
HalfCheetah-v5,SAC,TD3,t-test,0.01,0.5,2,0.061,0.0075682891065286355
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.009,0.002986469487538756
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,0.5,2,0.456,0.015750047618975634
HalfCheetah-v5,SAC,TD3,permutation,0.01,0.5,2,0.445,0.015715438269421567
HalfCheetah-v5,SAC,TD3,t-test,0.01,0.5,3,0.043,0.006414904519944158
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.019,0.004317290817167636
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,0.5,3,0.235,0.013408019988051927
HalfCheetah-v5,SAC,TD3,permutation,0.01,0.5,3,0.18,0.012149074038789953
HalfCheetah-v5,SAC,TD3,t-test,0.01,0.5,5,0.019,0.004317290817167636
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.014,0.003715373467095872
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,0.5,5,0.033,0.005648982209212559
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,0.5,5,0.052,0.007021111023192838
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,0.5,5,0.118,0.01020176455325254
HalfCheetah-v5,SAC,TD3,permutation,0.01,0.5,5,0.052,0.007021111023192838
HalfCheetah-v5,SAC,TD3,t-test,0.01,0.5,10,0.04,0.0061967733539318665
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,0.5,10,0.047,0.006692607862410586
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,0.5,10,0.062,0.007626008130076967
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,0.5,10,0.087,0.00891240708226459
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,0.5,10,0.101,0.009528850927577786
HalfCheetah-v5,SAC,TD3,permutation,0.01,0.5,10,0.036,0.005891010100144117
HalfCheetah-v5,SAC,TD3,t-test,0.01,0.5,20,0.121,0.010313049985334114
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,0.5,20,0.108,0.009815090422405696
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,0.5,20,0.172,0.011933817494833746
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,0.5,20,0.211,0.012902674141432851
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,0.5,20,0.185,0.012279047194306243
HalfCheetah-v5,SAC,TD3,permutation,0.01,0.5,20,0.098,0.009401914698613257
HalfCheetah-v5,SAC,TD3,t-test,0.01,0.5,30,0.215,0.012991343271578963
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,0.5,30,0.221,0.013120937466507492
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,0.5,30,0.284,0.014259873772232347
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,0.5,30,0.315,0.01468928180681411
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,0.5,30,0.281,0.014214042352547005
HalfCheetah-v5,SAC,TD3,permutation,0.01,0.5,30,0.23,0.013307892395116516
HalfCheetah-v5,SAC,TD3,t-test,0.01,1.0,2,0.069,0.008014923580421713
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,1.0,2,0.025,0.0049371044145328745
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,1.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,1.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,1.0,2,0.561,0.015693278816104682
HalfCheetah-v5,SAC,TD3,permutation,0.01,1.0,2,0.576,0.015627667772255716
HalfCheetah-v5,SAC,TD3,t-test,0.01,1.0,3,0.058,0.007391616873188166
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,1.0,3,0.057,0.007331507348424334
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,1.0,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,1.0,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,1.0,3,0.341,0.01499063040702425
HalfCheetah-v5,SAC,TD3,permutation,0.01,1.0,3,0.326,0.01482309009619789
HalfCheetah-v5,SAC,TD3,t-test,0.01,1.0,5,0.073,0.008226238508577295
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,1.0,5,0.05,0.006892024376045111
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,1.0,5,0.055,0.00720936890441875
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,1.0,5,0.11,0.009894442884771228
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,1.0,5,0.277,0.014151713677148785
HalfCheetah-v5,SAC,TD3,permutation,0.01,1.0,5,0.106,0.009734680272099337
HalfCheetah-v5,SAC,TD3,t-test,0.01,1.0,10,0.249,0.013674757767507255
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,1.0,10,0.24,0.013505554412907307
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,1.0,10,0.126,0.010493998284733994
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,1.0,10,0.183,0.012227469075814503
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,1.0,10,0.46,0.015760710643876435
HalfCheetah-v5,SAC,TD3,permutation,0.01,1.0,10,0.254,0.013765318739498916
HalfCheetah-v5,SAC,TD3,t-test,0.01,1.0,20,0.668,0.014892145580808697
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,1.0,20,0.677,0.014787528529135624
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,1.0,20,0.401,0.015498354751392161
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,1.0,20,0.419,0.015602531845825536
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,1.0,20,0.78,0.01309961831505025
HalfCheetah-v5,SAC,TD3,permutation,0.01,1.0,20,0.654,0.015042739112276061
HalfCheetah-v5,SAC,TD3,t-test,0.01,1.0,30,0.889,0.00993373041711924
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,1.0,30,0.924,0.008379976133617564
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,1.0,30,0.588,0.01556457516284977
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,1.0,30,0.622,0.015333492752794452
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,1.0,30,0.947,0.007084560677981384
HalfCheetah-v5,SAC,TD3,permutation,0.01,1.0,30,0.905,0.009272270487857868
HalfCheetah-v5,SAC,TD3,t-test,0.01,2.0,2,0.12,0.010276186062932104
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,2.0,2,0.052,0.007021111023192838
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.01,2.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.01,2.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.01,2.0,2,0.758,0.013543854695026818
HalfCheetah-v5,SAC,TD3,permutation,0.01,2.0,2,0.734,0.013972973913952606
HalfCheetah-v5,SAC,TD3,t-test,0.01,2.0,3,0.145,0.01113440613593738
HalfCheetah-v5,SAC,TD3,Welch t-test,0.01,2.0,3,0.09,0.009049861877399014
