task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,2,0.167,0.01179453263168999
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.068,0.007960904471226871
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.49,0.0158082257068907
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,2,0.503,0.01581110369329099
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,3,0.143,0.011070275515993266
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.082,0.008676174272108648
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.265,0.013956181426163821
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.304,0.014545927265045703
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,3,0.269,0.014022802858202064
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,5,0.151,0.01132249972400088
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.106,0.009734680272099337
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.094,0.009228434320078352
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.118,0.01020176455325254
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.262,0.013905250806799567
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,5,0.143,0.011070275515993266
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,10,0.192,0.012455360291858283
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.167,0.01179453263168999
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.191,0.012430567163247218
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.223,0.01316324428095141
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.27,0.014039230748157109
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,10,0.218,0.0130566458173606
