task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,2,0.076,0.008379976133617566
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.041,0.006270486424512854
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.453,0.015741378592740853
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,2,0.435,0.0156772127624779
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,3,0.109,0.00985489725973843
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.097,0.00935900635751467
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.161,0.011622349160131096
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.405,0.015523369479594306
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,3,0.262,0.013905250806799567
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,5,0.233,0.013368283360252356
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.176,0.012042591083317577
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.064,0.007739767438366608
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.12,0.010276186062932104
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.4,0.015491933384829668
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,5,0.226,0.013225883713385657
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,10,0.348,0.015063067416698366
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.345,0.015032464867745409
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.149,0.01126050620531777
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.202,0.012696298673235441
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.442,0.01570464899321217
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,10,0.375,0.015309310892394862
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,20,0.49,0.0158082257068907
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.447,0.015722308990730335
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.334,0.014914556647785411
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.357,0.015150940564862632
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.482,0.01580113919943749
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,20,0.475,0.015791611697353755
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,30,0.54,0.015760710643876435
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.554,0.01571890581433708
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.477,0.01579465099329517
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.486,0.015805189021330938
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.554,0.01571890581433708
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,30,0.53,0.015782902141241326
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,2,0.164,0.011709141727727102
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.084,0.008771772910877254
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.674,0.01482309009619789
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,2,0.637,0.015206281596761254
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,3,0.327,0.014834790190629594
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.235,0.013408019988051927
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.25,0.013693063937629153
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,3,0.641,0.01516967369457893
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,3,0.487,0.015806043148112688
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,5,0.533,0.015776913513105152
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.509,0.015808826648426505
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.193,0.012480024038438387
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.285,0.014274978108564651
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,5,0.673,0.014834790190629592
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,5,0.537,0.015768037290671277
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,10,0.728,0.014071815803228808
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,10,0.688,0.014651143300097778
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,10,0.496,0.01581088232832058
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,10,0.52,0.0157987341265052
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,10,0.704,0.014435511767859151
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,10,0.694,0.014572714228996602
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,20,0.807,0.012480024038438387
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.801,0.012625331678811452
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.824,0.012042591083317579
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.806,0.012504559168559281
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.776,0.013184233007649704
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,20,0.83,0.0118785521003193
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,30,0.913,0.008912407082264588
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.909,0.009094998625618366
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.959,0.006270486424512857
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.954,0.006624499981130654
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.908,0.009139803061335619
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,30,0.913,0.008912407082264588
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,2,0.394,0.015451990163082553
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.203,0.012719709116170857
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.883,0.010164201887015036
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,2,0.892,0.009815090422405694
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,3,0.713,0.01430492922037715
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.625,0.015309310892394862
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.559,0.015700923539715746
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,3,0.877,0.010386096475577337
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,3,0.82,0.012149074038789953
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,5,0.833,0.01179453263168999
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,5,0.823,0.012069424178476786
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,5,0.547,0.015741378592740853
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,5,0.635,0.015224158433227107
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,5,0.865,0.010806248192596726
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,5,0.827,0.011961229033840963
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,10,0.898,0.009570579919733181
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,10,0.881,0.010239091756596383
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,10,0.912,0.008958571314668425
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,10,0.927,0.008226238508577293
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,10,0.9,0.009486832980505136
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,10,0.907,0.009184280047995052
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,20,0.992,0.0028170906978654425
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,20,0.997,0.0017294507798720387
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,20,0.998,0.0014127986409959495
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,20,0.998,0.0014127986409959495
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,20,0.994,0.002442130217658347
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,20,0.993,0.002636474919281427
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,2,0.016,0.003967870965643918
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.003,0.001729450779872038
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,2,0.483,0.01580224667571039
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,2,0.473,0.01578831846651188
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,3,0.033,0.005648982209212559
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.018,0.004204283529925164
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,3,0.295,0.01442133835675455
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,3,0.232,0.013348258313353095
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,5,0.058,0.007391616873188166
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.056,0.007270763371201128
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,5,0.021,0.004534203347888138
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,5,0.047,0.006692607862410586
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,5,0.273,0.014087973594523805
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,5,0.096,0.009315793041926168
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,10,0.168,0.011822690049223147
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,10,0.174,0.011988494484296182
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,10,0.059,0.007451107300260815
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,10,0.079,0.008529888627643388
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,10,0.292,0.014378317008607092
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,10,0.192,0.012455360291858283
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,20,0.304,0.014545927265045703
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,20,0.291,0.014363808687113596
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,20,0.133,0.010738295954200556
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,20,0.181,0.0121753439376471
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,20,0.373,0.015292841462592882
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,20,0.331,0.014880826589944525
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,30,0.369,0.015259062880793171
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,30,0.343,0.015011695440555674
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,30,0.246,0.013619251080731275
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,30,0.233,0.013368283360252356
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,30,0.408,0.015541428505771277
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,30,0.374,0.015301111070768685
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,2,0.04,0.0061967733539318665
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,2,0.007,0.0026364749192814255
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,1.0,2,0.649,0.015093011627902497
Walker2d-v5,SAC,TD3,permutation,0.01,1.0,2,0.638,0.015197236590906913
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,3,0.106,0.009734680272099337
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,3,0.047,0.006692607862410586
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,1.0,3,0.545,0.015747221977225064
Walker2d-v5,SAC,TD3,permutation,0.01,1.0,3,0.485,0.01580427157448264
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,5,0.259,0.013853483316480371
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,5,0.238,0.01346684818359515
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,5,0.073,0.008226238508577295
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,5,0.12,0.010276186062932104
Walker2d-v5,SAC,TD3,bootstrap,0.01,1.0,5,0.582,0.015597307459943206
Walker2d-v5,SAC,TD3,permutation,0.01,1.0,5,0.315,0.01468928180681411
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,10,0.548,0.015738360778683402
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,10,0.523,0.01579465099329517
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,10,0.242,0.013543854695026818
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,10,0.279,0.014183053267896867
